experiment,fov,culturepoint,whole.coords,focus.initiator,when.identified,frame.appears,time.appears,frame.disappears,time.disappears,gfp.survival.time,last.positive.cbf,interval.before.death,neg.cbf.before.death,n.plauscbfs.b4death,n.cbfs.b4death,median.beat.24,median.beat.48,median.beat.72,median.beat.96,median.beat.120,median.beat.168,median.beat.216,notes,topography,,
longcilia2,234,10,4076 x 3286,no,third,21,50.3,43,104,53.7,alwaysneg,alwaysneg,alwaysneg,0,2,niy,niy,0.33,0.33,NA,nogfp,NA,short lived cluster,,,
longcilia2,234,10,4077 x 3279,no,third,26,64,38,90.78,26.78,alwaysneg,alwaysneg,alwaysneg,0,1,niy,niy,0.33,nogfp,NA,nogfp,NA,short lived cluster,,,
longcilia2,234,10,4085 x 3279,no,third,23,58,43,104,46,101.8,2.2,no,2,2,niy,niy,10,7.667,NA,nogfp,NA,short lived cluster,,,
ruxcilia,150,6,4089 x 3446,yes,first,12,25.7,32,78.78,53.08,51.34,27.44,no,2,2,7,6,nogfp,NA,NA,NA,NA,,,,
ruxcilia,150,6,ne4089 x 3466,no,second,18,40.82,35,76.37-122,,73.8,,no,2,2,niy,6.667,6.667,NA,NA,NA,NA,,,,
ruxcilia,147,6,3453 x 2585,yes,first,5,10.82,25,57.73,46.91,51.34,6.39,no,2,2,6,7,nogfp,NA,NA,NA,NA,,,,
ruxcilia,82,1,,,,,,,,,,,,,,,,,,,,,yes,"trackable, drifted out of fov, but you can see a cell in 24 and nothing in the same spot at 48",,
ruxcilia,85,1,,,,,,,,,,,,,,,,,,,,,yes,"trackable, a little drifted, but at the very edge of the fov",crypt,
ruxcilia,94,2,,,,,,,,,,,,,,,,,,,,,yes,"in fov, trackable",crypt,
ruxcilia,103,2,,,,,,,,,,,,,,,,,,,,,yes,"in fov, trackable",crypt,
ruxcilia,104,2,,,,,,,,,,,,,,,,,,,,,yes,"in fov, trackable",crypt,
ruxcilia,124,3,,,,,,,,,,,,,,,,,,,,,yes,"comethead, 48 a little dense but whatever",plain,
ruxcilia,125,3,,,,,,,,,,,,,,,,,,,,,yes,maybe slipped just out of fov or maybe good,plain,
ruxcilia,127,4,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov, gross and piecy phenotype",plain,
ruxcilia,128,4,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov, gross and piecy phenotype",plain,
ruxcilia,137,4,,,,,,,,,,,,,,,,,,,,,yes,maybe a little dense but it should work,plain,
ruxcilia,139,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov, gross and piecy phenotype",edge,
