"","hpi_category","condition","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"1","early","infected","cilia",4,655360,3,1,0.706484985351562,0.983805847167969,0.588871765136719,0.386177062988281,0.0003445025504333,-3.46280755856645,7.75,7.75,9.75,0.702081298828125
"2","early","infected","cilia",5,655360,4,1,0.812930297851562,0.3767822265625,0.351228332519531,0.0249282836914063,0.00097174954134965,-3.01244565567765,15.25,13.5,13.75,0.311541748046875
"3","early","infected","cilia",8,655360,2,1,0.829112243652344,0.966513061523438,0.529832458496094,0.425814819335938,0.00072602060390635,-3.13905105418164,7.75,7.25,10.5,0.803352355957031
"4","early","infected","longcilia2",2,1310720,3,2,0.910413360595703,0.9730224609375,0.734280395507813,0.228311157226563,0.0010536925983615,-2.97728607062959,7.33333333333333,7.33333333333333,8,0.903472137451172
"5","early","infected","longcilia2",3,1310720,5,2,0.617513275146484,0.786964416503906,0.619998168945312,0.155535125732422,0.0003924537741113,-3.40621149007966,7,6,6.66666666666667,0.610181427001953
"6","early","infected","longcilia2",6,1310720,5,2,0.718522644042969,0.778230285644531,0.396421051025391,0.361922454833984,0.0010660236002877,-2.97223318052419,6.33333333333333,2.33333333333333,9.33333333333333,0.617459869384766
"7","early","infected","longcilia2",7,1310720,7,2,0.946961975097656,0.934102630615234,0.813976287841797,0.117783355712891,0.0018037720001302,-2.74381835889117,11,10.6666666666667,11.3333333333333,0.897738647460937
"8","early","infected","longcilia2",10,1310720,7,2,0.753645324707031,0.914281463623047,0.492706298828125,0.401197814941406,0.0006353572243824,-3.19698202753574,4,3,7,0.749842071533203
"9","early","infected","longcilias",3,655360,4,2,0.437823486328125,0.966058349609375,0.355274963378906,0.601788330078125,0.00014904576528345,-3.82668035871378,0.666666666666667,0.666666666666667,10,0.430908203125
"10","early","infected","longcilias",4,655360,4,2,0.281808471679687,0.94915771484375,0.805305480957031,0.1416015625,8.92206298885867e-05,-4.04953471500864,9.33333333333333,9.33333333333333,9.66666666666667,0.274331665039062
"11","early","infected","longcilias",5,655360,7,2,0.467045593261719,0.9560791015625,0.5920166015625,0.357673645019531,0.00017196092812805,-3.76457021952278,10.6666666666667,10.3333333333333,12,0.452940368652344
"12","early","infected","longcilias",6,655360,7,2,0.244842529296875,0.936598205566406,0.780860900878906,0.151673889160156,7.09944579284638e-05,-4.14877555251191,11.6666666666667,11.3333333333333,11.6666666666667,0.23472900390625
"13","early","infected","longcilias",11,655360,8,2,0.670648193359375,0.938572692871094,0.711801147460937,0.223793029785156,0.0003592643042793,-3.4445859312109,10.6666666666667,10.6666666666667,11.3333333333333,0.642098999023437
"14","early","infected","longcilias",12,655360,8,2,0.59759521484375,0.946347045898438,0.601795959472656,0.341519165039062,0.0003009998617926,-3.5214337038172,10.3333333333333,10,11.6666666666667,0.571302795410156
"15","early","infected","multicilia",1,2949120,8,5,0.518674723307292,0.795152452256944,0.54182366265191,0.24654778374566,0.000207754492294,-3.68244957665396,8.33333333333333,7.66666666666667,8.66666666666667,0.486744859483507
"16","early","infected","multicilia",2,3145728,8,5,0.186362902323405,0.482777277628581,0.439757982889811,0.0389229456583659,0.00010466635285405,-3.98019290875434,16,9,9,0.154177665710449
"17","early","infected","multicilia",6,2490368,7,5,0.490020751953125,0.724300585295025,0.426641765393709,0.287637007863898,0.00019452813285165,-3.71101758169714,7.33333333333333,6,7.66666666666667,0.45351851613898
"18","early","infected","multicilia",7,2162688,7,5,0.410595980557528,0.68562178178267,0.311494769472064,0.370348381273674,0.000160460906045,-3.79463075987606,10.6666666666667,0.666666666666667,11,0.359530362215909
"19","early","infected","ruxcilia",5,655360,3,1,0.315673828125,0.872760009765625,0.662760925292969,0.209140014648438,8.62734887050464e-05,-4.064122639719,9.5,9,10,0.311024475097656
"20","early","infected","ruxcilia",6,655360,3,1,0.479136657714844,0.915782165527344,0.243678283691406,0.670492553710938,0.0001808710148907,-3.74263102454209,0.25,0.25,11.25,0.451304626464844
"21","early","mock","cilia",3,524288,3,1,0.736249923706055,0.9781494140625,0.674148559570312,0.294025421142578,0.0004029531264677,-3.39474547023757,8.25,8.25,9.5,0.731016159057617
"22","early","mock","cilia",6,720896,4,1,0.77098915793679,0.613808371803977,0.558006980202415,0.0550287420099432,0.00095992739079515,-3.01776161588823,14.25,12.75,13,0.495584661310369
"23","early","mock","cilia",7,655360,2,1,0.794317626953125,0.817420959472656,0.429208374023437,0.381202697753906,0.00058276587515135,-3.23450588701078,10.75,3.5,12,0.7101318359375
"24","early","mock","longcilia2",1,1310720,3,2,0.191082000732422,0.475434875488281,0.394058227539062,0.0702499389648437,8.77437232702505e-05,-4.05678394092022,17,5,6,0.179420471191406
"25","early","mock","longcilia2",4,1310720,5,2,0.956443786621094,0.987816619873047,0.392858123779297,0.573081970214844,0.001141304266639,-2.94259855916931,1.33333333333333,1.33333333333333,7.33333333333333,0.950614929199219
"26","early","mock","longcilia2",5,1310720,5,2,0.965802764892578,0.927017211914062,0.703225708007812,0.216520690917969,0.0022992318263277,-2.63841723759608,11,10.6666666666667,11.3333333333333,0.901950836181641
"27","early","mock","longcilia2",8,1310720,7,2,0.873112487792969,0.94866943359375,0.763265228271484,0.179936981201172,0.0011396783520467,-2.94321770098304,9.33333333333333,9.33333333333333,10,0.846732330322266
"28","early","mock","longcilia2",9,1310720,7,2,0.398403167724609,0.631289672851562,0.574359893798828,0.0389442443847656,0.0001117041210818,-3.95193080423381,9.33333333333333,6.66666666666667,7,0.389456939697266
"29","early","mock","longcilias",1,655360,4,2,0.467951965332031,0.984869384765625,0.38238525390625,0.569194030761719,0.00017720612231635,-3.75152127769953,1.33333333333333,1.33333333333333,8.33333333333333,0.464117431640625
"30","early","mock","longcilias",2,655360,4,2,0.214738464355469,0.956242370605469,0.690406799316406,0.260585021972656,5.52337096451083e-05,-4.25779578741039,9,9,10,0.210035705566406
"31","early","mock","longcilias",7,655360,7,2,0.337556457519531,0.924031066894531,0.691105651855469,0.230947875976562,9.22679719224106e-05,-4.03494902521307,11.6666666666667,11.3333333333333,12,0.317146301269531
"32","early","mock","longcilias",8,655360,7,2,0.337396240234375,0.893313598632812,0.679277038574219,0.211813354492187,0.0001056251203408,-3.97623278324196,12.3333333333333,12,12.6666666666667,0.307215881347656
"33","early","mock","longcilias",9,655360,8,2,0.695962524414062,0.905624389648438,0.642008972167969,0.259425354003906,0.00034575705649325,-3.46122894769465,11.3333333333333,11,12,0.637509155273438
"34","early","mock","longcilias",10,655360,8,2,0.764155578613281,0.950056457519531,0.687847900390625,0.259835815429687,0.0004414931318024,-3.35507604824722,10.6666666666667,10.3333333333333,11.3333333333333,0.730378723144531
"35","early","mock","multicilia",4,3538944,8,5,0.389437922724971,0.773893003110532,0.383308975784867,0.383462411385995,0.00014940043183735,-3.82564814720397,8,2,9,0.372874789767795
"36","early","mock","multicilia",5,1966080,8,5,0.660918680826823,0.878116861979167,0.506507873535156,0.363190714518229,0.00028888946690125,-3.53926829252897,8,7,9.33333333333333,0.632452392578125
"37","early","mock","multicilia",8,2031616,7,5,0.446070025044103,0.701373684790827,0.500008859942036,0.193103913337954,0.0001754502081894,-3.75584611211444,9,6.66666666666667,7.66666666666667,0.407059208039315
"38","early","mock","multicilia",9,2228224,7,5,0.172620436724494,0.368395188275505,0.229861539952895,0.130317687988281,9.48656925174873e-05,-4.02289081859671,24.3333333333333,4.33333333333333,7.66666666666667,0.143570395076976
"39","early","mock","ruxcilia",7,655360,3,1,0.536225891113281,0.914912414550781,0.330923461914063,0.579420471191406,0.0002247239099233,-3.64835071754511,0.75,0.5,11.5,0.496565246582031
"40","24","infected","cilia",4,589824,3,24,0.67806159125434,0.964808146158854,0.626469930013021,0.337749905056424,0.00039079619455145,-3.40804967395505,6,6,7.25,0.673309326171875
"41","24","infected","cilia",5,655360,4,24,0.314968872070312,0.635353088378906,0.408480834960938,0.221922302246094,0.0001473287920816,-3.83171237182512,5.75,3.5,4.5,0.280430603027344
"42","24","infected","cilia",8,524288,2,24,0.415435791015625,0.830432891845703,0.567756652832031,0.260684967041016,0.0001690067147137,-3.77209604032617,5.5,4.75,5.75,0.401578903198242
"43","24","infected","longcilia2",2,1703936,3,24,0.829591017503005,0.96594473031851,0.652013338529147,0.312903771033654,0.00104017561534415,-2.98289333153227,6.33333333333333,6.33333333333333,7,0.826215303861178
"44","24","infected","longcilia2",3,1703936,5,24,0.707079373873197,0.873466491699219,0.744746281550481,0.127160879281851,0.0006170781562104,-3.20965982679136,6.66666666666667,6.33333333333333,6.66666666666667,0.703096829927885
"45","24","infected","longcilia2",6,1507328,5,24,0.762428615404212,0.920676189920177,0.635131172511889,0.283256862474524,0.0010632216581143,-2.97337618527996,8,7.66666666666667,9,0.754417751146399
"46","24","infected","longcilia2",7,1638400,7,24,0.66561279296875,0.89947265625,0.841248168945313,0.057359619140625,0.00039422021654895,-3.40426110783737,8,8,8,0.6523583984375
"47","24","infected","longcilia2",10,1835008,7,24,0.73951176234654,0.941500527518136,0.71583502633231,0.224130358014788,0.0005543232255149,-3.25623692458025,5.33333333333333,5.33333333333333,6,0.73728016444615
"48","24","infected","longcilias",3,1835008,4,24,0.537510463169643,0.793399810791016,0.509997776576451,0.28004401070731,0.00022256244119485,-3.65254812373043,7,5.66666666666667,7.33333333333333,0.515569959368025
"49","24","infected","longcilias",4,1572864,4,24,0.255011876424154,0.548343022664388,0.46397336324056,0.0799070994059245,0.000122725876281,-3.91106385828987,11,5.66666666666667,6.33333333333333,0.222179412841797
"50","24","infected","longcilias",5,1769472,7,24,0.93283533166956,0.951954029224537,0.725465562608507,0.223982069227431,0.0009734363993629,-3.01169241836905,11.3333333333333,11,11.6666666666667,0.907116925274884
"51","24","infected","longcilias",6,1441792,7,24,0.874624772505327,0.924281033602628,0.665501681241122,0.251531427556818,0.0008109486079774,-3.09100666734148,11.3333333333333,11.3333333333333,12,0.850033153187145
"52","24","infected","longcilias",11,1114112,8,24,0.462429271024816,0.755675371955423,0.3912353515625,0.361653945025276,0.00018153817654815,-3.74103203111987,5.66666666666667,3.33333333333333,7,0.445228127872243
"53","24","infected","longcilias",12,917504,8,24,0.699353899274554,0.86517333984375,0.561876569475446,0.301312037876674,0.00037014075496695,-3.4316330935519,8.66666666666667,8,9.33333333333333,0.683348519461496
"54","24","infected","multicilia",1,3997696,8,24,0.648080544393571,0.84756094510438,0.613154426949923,0.231400286565061,0.0003216721088392,-3.49258659375286,8,7.33333333333333,8.66666666666667,0.627225531906378
"55","24","infected","multicilia",2,3735552,8,24,0.330826073362116,0.609255338969984,0.527013142903646,0.0784668504146107,0.00012786397564915,-3.89325179626032,10.6666666666667,8.66666666666667,9,0.299174793979578
"56","24","infected","multicilia",6,3014656,7,24,0.498576620350713,0.772972770359205,0.742440596870754,0.0286069123641304,0.0001992729885387,-3.70055156594414,7.66666666666667,7,7,0.478404501210088
"57","24","infected","multicilia",7,3866624,7,24,0.712688898636123,0.864637730485302,0.725301710225768,0.138016005693856,0.00045373465400185,-3.34319805020933,10.3333333333333,10,10.3333333333333,0.68347090381687
"58","24","infected","ruxcilia",5,1179648,3,24,0.390714009602865,0.868559095594618,0.748830159505208,0.11783938937717,0.00011855127377195,-3.92609377539314,5.66666666666667,5.66666666666667,5.66666666666667,0.388765123155382
"59","24","infected","ruxcilia",6,1441792,3,24,0.159504283558239,0.726644342595881,0.638166254216974,0.0847632668235085,2.99513267236761e-05,-4.52358393534481,6.33333333333333,5.33333333333333,5.66666666666667,0.159013227982955
"60","24","mock","cilia",3,458752,3,24,0.44179207938058,0.921445574079241,0.698865618024554,0.22127205984933,0.00016956964827835,-3.77065188064582,6.25,6,6.75,0.438550676618304
"61","24","mock","cilia",6,655360,4,24,0.43173828125,0.649044799804688,0.569300842285156,0.0705307006835938,0.00017628609930395,-3.75378193179459,5.75,4.5,4.75,0.364256286621094
"62","24","mock","cilia",7,589824,2,24,0.469804551866319,0.769037882486979,0.630706787109375,0.135806613498264,0.000186204095371,-3.73001077138308,6.25,5.5,6,0.446500990125868
"63","24","mock","longcilia2",1,1835008,3,24,0.895556313650949,0.984727042061942,0.558826446533203,0.42481940133231,0.00104419898707415,-2.98121673241276,5.66666666666667,5.66666666666667,7.33333333333333,0.892200469970703
"64","24","mock","longcilia2",4,1835008,5,24,0.884082794189453,0.972746712820871,0.518506731305804,0.452607291085379,0.00124748656526205,-2.90396412278999,5,4.66666666666667,6.66666666666667,0.881915501185826
"65","24","mock","longcilia2",5,1835008,5,24,0.778680528913225,0.935698372977121,0.769260406494141,0.165789467947824,0.00082703810767265,-3.08247447887477,8.66666666666667,8.66666666666667,9,0.767107282366071
"66","24","mock","longcilia2",8,1835008,7,24,0.779108319963728,0.925060817173549,0.626354762486049,0.293943677629743,0.0008950164483394,-3.0481689832794,7.66666666666667,7.66666666666667,8.66666666666667,0.768558502197266
"67","24","mock","longcilia2",9,1835008,7,24,0.706971304757254,0.959249768938337,0.9059693472726,0.0516504560198103,0.0004035001766169,-3.39415627084614,5,5,5.33333333333333,0.704353332519531
"68","24","mock","longcilias",1,1376256,4,24,0.407953171502976,0.714842296781994,0.347284952799479,0.363330659412202,0.00015541513130295,-3.80850670032691,6.33333333333333,1.33333333333333,7,0.389234270368304
"69","24","mock","longcilias",2,1441792,4,24,0.292798128995028,0.581844676624645,0.523377158425071,0.0540826970880682,0.0001324581826338,-3.87792120789948,9.66666666666667,5.66666666666667,6,0.260679765181108
"70","24","mock","longcilias",7,1179648,7,24,0.853626675075955,0.932184855143229,0.623541937934028,0.303758409288194,0.00075620575807985,-3.12136002005393,10.3333333333333,10,11,0.831455654568142
"71","24","mock","longcilias",8,1179648,7,24,0.934026930067274,0.954096476236979,0.582592434353299,0.369393242730035,0.00105614832136775,-2.97627508688914,10.6666666666667,10.6666666666667,11.6666666666667,0.911144680447049
"72","24","mock","longcilias",9,1048576,8,24,0.627240180969238,0.846774101257324,0.499770164489746,0.344752311706543,0.0003066850767936,-3.51330735615213,7,6,8,0.612438201904297
"73","24","mock","longcilias",10,1179648,8,24,0.539918687608507,0.813034057617188,0.482252332899306,0.327792697482639,0.0002230107711511,-3.65167416054594,7.33333333333333,5.66666666666667,8.33333333333333,0.523052639431424
"74","24","mock","multicilia",4,3866624,8,24,0.510316234523967,0.835140680862685,0.503054602671478,0.328928543349444,0.000208673387533,-3.68053293370683,8.33333333333333,7.33333333333333,9,0.499139559471001
"75","24","mock","multicilia",5,1966080,8,24,0.823671468098958,0.927958170572917,0.673743184407552,0.251914469401042,0.000620515726041,-3.20724720748318,8,7.66666666666667,8.33333333333333,0.803564961751302
"76","24","mock","multicilia",8,2490368,7,24,0.629387303402549,0.828916047748766,0.716813338430304,0.110725001284951,0.0003081114700762,-3.51129213388665,7.33333333333333,7,7.33333333333333,0.606740851151316
"77","24","mock","multicilia",9,2228224,7,24,0.215761970071232,0.501946393181296,0.47600690056296,0.0216378604664522,0.00011463054397605,-3.94069964665469,14.6666666666667,6,6,0.185872695025276
"78","24","mock","ruxcilia",7,720896,3,24,0.259302312677557,0.847765835848722,0.691098299893466,0.153447931463068,7.09016421751585e-05,-4.14934370587181,6.66666666666667,6.33333333333333,6.66666666666667,0.257139726118608
"79","48","infected","cilia",4,983040,3,48,0.680274454752604,0.912831624348958,0.758278401692708,0.153202311197917,0.0004003944632131,-3.3975119367205,7,6.75,7.25,0.6637451171875
"80","48","infected","cilia",5,1048576,4,48,0.375797271728516,0.623871803283691,0.59489631652832,0.0227994918823242,0.0001370479149045,-3.86312756758494,6.75,5,5,0.350077629089355
"81","48","infected","cilia",8,589824,2,48,0.540227254231771,0.834804958767361,0.799580891927083,0.0339558919270833,0.00023293794220075,-3.63275976545286,7.25,6.75,6.75,0.529179890950521
"82","48","infected","longcilia2",2,3080192,3,48,0.875007142411902,0.955418688185672,0.789336833548039,0.164893941676363,0.0015151114203035,-2.81955542825506,7.33333333333333,7.33333333333333,7.33333333333333,0.866107372527427
"83","48","infected","longcilia2",3,2228224,5,48,0.782000373391544,0.910411161534927,0.731854607077206,0.177299948299632,0.0009505210327915,-3.02203826877833,6.66666666666667,6.66666666666667,7,0.776654411764706
"84","48","infected","longcilia2",6,2424832,5,48,0.809472161370355,0.937984157252956,0.701672115841427,0.235712412241343,0.00116162910126145,-2.93493251651414,8.66666666666667,8.33333333333333,9.66666666666667,0.796321147197002
"85","48","infected","longcilia2",7,4259840,7,48,0.716650860126202,0.920531522310697,0.856735464242788,0.0630173903245192,0.0005328643310349,-3.27338334966558,9,9,9,0.70175546499399
"86","48","infected","longcilia2",10,3538944,7,48,0.734158833821615,0.944504349320023,0.777084633156105,0.166399637858073,0.00058607687242325,-3.23204541627075,6.33333333333333,6.33333333333333,6.66666666666667,0.729962101689091
"87","48","infected","longcilias",3,2818048,4,48,0.687795594681141,0.845549827398256,0.713883865711301,0.129448824150618,0.00042898523679465,-3.36755765347765,8,7.33333333333333,8,0.667250522347384
"88","48","infected","longcilias",4,1835008,4,48,0.305206843784877,0.572291782924107,0.487496512276786,0.0799751281738281,0.00013331609807205,-3.87511740586196,10,6,6.66666666666667,0.262765066964286
"89","48","infected","longcilias",5,2228224,7,48,0.759035447064568,0.862318151137408,0.65194387996898,0.206658307243796,0.00059478165348985,-3.22564243610024,11,10.6666666666667,11.3333333333333,0.733123779296875
"90","48","infected","longcilias",6,1572864,7,48,0.876694997151693,0.876617431640625,0.718865076700846,0.15625254313151,0.0010226607555523,-2.99026840971661,12,11.6666666666667,12,0.812985102335612
